1 2 3
1 3 13
1 7 1
1 8 3
2 1 3
2 7 4
3 1 13
3 4 6
3 7 12
3 10 3
3 16 17
3 17 7
3 18 34
3 21 34
3 22 24
4 3 6
4 7 6
4 9 5
4 10 8
5 6 6
5 8 2
6 5 6
6 8 7
6 9 2
6 10 6
6 14 12
6 15 3
7 1 1
7 2 4
7 3 12
7 4 6
7 8 2
8 1 3
8 5 2
8 6 7
8 7 2
9 4 5
9 6 2
9 10 3
9 14 10
10 3 3
10 4 8
10 6 6
10 9 3
10 14 6
10 17 4
10 23 28
11 12 5
11 14 7
11 15 9
12 11 5
12 13 3
12 14 1
13 12 3
13 14 2
13 25 13
14 6 12
14 9 10
14 10 6
14 11 7
14 12 1
14 13 2
14 16 8
14 17 2
14 18 25
14 23 21
15 6 3
15 11 9
16 3 17
16 14 8
16 17 10
16 18 17
16 22 7
17 3 7
17 10 4
17 14 2
17 16 10
17 18 27
18 3 34
18 14 25
18 16 17
18 17 27
18 19 1
18 20 4
18 21 5
18 22 10
18 23 4
19 18 1
19 22 9
20 18 4
20 21 1
21 3 34
21 18 5
21 20 1
22 3 24
22 16 7
22 18 10
22 19 9
22 23 7
23 10 28
23 14 21
23 18 4
23 22 7
23 24 1
23 25 6
24 23 1
24 25 5
25 13 13
25 23 6
25 24 5
